Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,41.799200% to 58.00%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-2.65696e-03,0.062,0.07
-2.65680e-03,0.066,0.062
-2.65664e-03,0.066,0.07
-2.65648e-03,0.066,0.062
-2.65632e-03,0.066,0.07
-2.65616e-03,0.066,0.062
-2.65600e-03,0.066,0.07
-2.65584e-03,0.066,0.062
-2.65568e-03,0.066,0.07
-2.65552e-03,0.066,0.062
-2.65536e-03,0.066,0.07
-2.65520e-03,0.066,0.062
-2.65504e-03,0.066,0.07
-2.65488e-03,0.066,0.062
-2.65472e-03,0.066,0.07
-2.65456e-03,0.066,0.062
-2.65440e-03,0.066,0.074
-2.65424e-03,0.066,0.062
-2.65408e-03,0.066,0.074
-2.65392e-03,0.066,0.062
-2.65376e-03,0.066,0.07
-2.65360e-03,0.066,0.062
-2.65344e-03,0.066,0.07
-2.65328e-03,0.066,0.062
-2.65312e-03,0.066,0.07
-2.65296e-03,0.066,0.062
-2.65280e-03,0.062,0.07
-2.65264e-03,0.066,0.062
-2.65248e-03,0.066,0.07
-2.65232e-03,0.066,0.062
-2.65216e-03,0.07,0.07
-2.65200e-03,0.066,0.062
-2.65184e-03,0.066,0.07
-2.65168e-03,0.062,0.062
-2.65152e-03,0.066,0.07
-2.65136e-03,0.066,0.062
-2.65120e-03,0.062,0.07
-2.65104e-03,0.062,0.062
-2.65088e-03,0.066,0.07
-2.65072e-03,0.066,0.062
-2.65056e-03,0.066,0.07
-2.65040e-03,0.066,0.062
-2.65024e-03,0.066,0.07
-2.65008e-03,0.066,0.062
-2.64992e-03,0.066,0.07
-2.64976e-03,0.066,0.062
-2.64960e-03,0.066,0.07
-2.64944e-03,0.07,0.062
-2.64928e-03,0.066,0.07
-2.64912e-03,0.066,0.062
-2.64896e-03,0.066,0.07
-2.64880e-03,0.07,0.066
-2.64864e-03,0.07,0.074
-2.64848e-03,0.07,0.062
-2.64832e-03,0.066,0.074
-2.64816e-03,0.066,0.066
-2.64800e-03,0.066,0.074
-2.64784e-03,0.07,0.062
-2.64768e-03,0.066,0.07
-2.64752e-03,0.066,0.066
-2.64736e-03,0.07,0.074
-2.64720e-03,0.066,0.066
-2.64704e-03,0.066,0.074
-2.64688e-03,0.07,0.062
-2.64672e-03,0.066,0.074
-2.64656e-03,0.066,0.062
-2.64640e-03,0.066,0.074
-2.64624e-03,0.066,0.062
-2.64608e-03,0.066,0.074
-2.64592e-03,0.066,0.062
-2.64576e-03,0.07,0.074
-2.64560e-03,0.07,0.062
-2.64544e-03,0.07,0.074
-2.64528e-03,0.07,0.066
-2.64512e-03,0.066,0.074
-2.64496e-03,0.066,0.062
-2.64480e-03,0.066,0.074
-2.64464e-03,0.066,0.066
-2.64448e-03,0.066,0.074
-2.64432e-03,0.066,0.062
-2.64416e-03,0.066,0.07
-2.64400e-03,0.066,0.062
-2.64384e-03,0.062,0.07
-2.64368e-03,0.066,0.062
-2.64352e-03,0.066,0.07
-2.64336e-03,0.066,0.062
-2.64320e-03,0.066,0.07
-2.64304e-03,0.066,0.062
-2.64288e-03,0.066,0.07
-2.64272e-03,0.066,0.062
-2.64256e-03,0.066,0.07
-2.64240e-03,0.066,0.062
-2.64224e-03,0.066,0.07
-2.64208e-03,0.066,0.062
-2.64192e-03,0.066,0.07
-2.64176e-03,0.066,0.062
-2.64160e-03,0.066,0.07
-2.64144e-03,0.062,0.062
-2.64128e-03,0.066,0.07
-2.64112e-03,0.066,0.062
-2.64096e-03,0.07,0.07
-2.64080e-03,0.066,0.062
-2.64064e-03,0.066,0.07
-2.64048e-03,0.066,0.062
-2.64032e-03,0.066,0.07
-2.64016e-03,0.066,0.062
-2.64000e-03,0.066,0.074
-2.63984e-03,0.07,0.062
-2.63968e-03,0.07,0.07
