Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH1,CH1 Peak Detect
-1.19653e-02,0.454,0.454
-1.19651e-02,0.454,0.462
-1.19650e-02,0.45,0.45
-1.19648e-02,0.45,0.462
-1.19646e-02,0.446,0.442
-1.19645e-02,0.442,0.458
-1.19643e-02,0.442,0.442
-1.19642e-02,0.442,0.45
-1.19640e-02,0.442,0.438
-1.19638e-02,0.442,0.446
-1.19637e-02,0.442,0.438
-1.19635e-02,0.446,0.446
-1.19634e-02,0.442,0.438
-1.19632e-02,0.446,0.446
-1.19630e-02,0.446,0.442
-1.19629e-02,0.446,0.45
-1.19627e-02,0.446,0.442
-1.19626e-02,0.446,0.45
-1.19624e-02,0.446,0.446
-1.19622e-02,0.45,0.45
-1.19621e-02,0.45,0.446
-1.19619e-02,0.45,0.45
-1.19618e-02,0.45,0.442
-1.19616e-02,0.45,0.454
-1.19614e-02,0.45,0.446
-1.19613e-02,0.454,0.454
-1.19611e-02,0.45,0.446
-1.19610e-02,0.45,0.458
-1.19608e-02,0.45,0.45
-1.19606e-02,0.45,0.458
-1.19605e-02,0.454,0.446
-1.19603e-02,0.454,0.454
-1.19602e-02,0.45,0.45
-1.19600e-02,0.45,0.458
-1.19598e-02,0.45,0.446
-1.19597e-02,0.45,0.458
-1.19595e-02,0.446,0.442
-1.19594e-02,0.446,0.454
-1.19592e-02,0.446,0.442
-1.19590e-02,0.446,0.45
-1.19589e-02,0.442,0.442
-1.19587e-02,0.442,0.45
-1.19586e-02,0.442,0.442
-1.19584e-02,0.442,0.446
-1.19582e-02,0.438,0.438
-1.19581e-02,0.438,0.446
-1.19579e-02,0.442,0.438
-1.19578e-02,0.442,0.446
-1.19576e-02,0.442,0.438
-1.19574e-02,0.438,0.446
-1.19573e-02,0.442,0.438
-1.19571e-02,0.438,0.446
-1.19570e-02,0.438,0.438
-1.19568e-02,0.438,0.446
-1.19566e-02,0.438,0.438
-1.19565e-02,0.438,0.442
-1.19563e-02,0.442,0.438
-1.19562e-02,0.446,0.446
-1.19560e-02,0.45,0.442
-1.19558e-02,0.45,0.45
-1.19557e-02,0.45,0.442
-1.19555e-02,0.45,0.454
-1.19554e-02,0.45,0.446
-1.19552e-02,0.45,0.454
