Model,DPO2024B
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-1.09974e-02,0.476172
-1.09973e-02,0.476375
-1.09971e-02,0.476469
-1.09970e-02,0.476453
-1.09968e-02,0.476359
-1.09966e-02,0.475938
-1.09965e-02,0.475781
-1.09963e-02,0.475844
-1.09962e-02,0.475906
-1.09960e-02,0.476047
-1.09958e-02,0.47625
-1.09957e-02,0.476266
-1.09955e-02,0.476047
-1.09954e-02,0.476188
-1.09952e-02,0.476297
-1.09950e-02,0.476563
-1.09949e-02,0.4765
-1.09947e-02,0.476656
-1.09946e-02,0.476594
-1.09944e-02,0.476563
-1.09942e-02,0.476344
-1.09941e-02,0.476844
-1.09939e-02,0.476531
-1.09938e-02,0.476984
-1.09936e-02,0.476813
-1.09934e-02,0.476859
-1.09933e-02,0.477328
-1.09931e-02,0.476984
-1.09930e-02,0.477156
-1.09928e-02,0.477078
-1.09926e-02,0.476578
-1.09925e-02,0.476438
-1.09923e-02,0.476328
-1.09922e-02,0.476328
-1.09920e-02,0.476047
-1.09918e-02,0.475813
-1.09917e-02,0.475906
-1.09915e-02,0.475406
-1.09914e-02,0.475406
-1.09912e-02,0.475234
-1.09910e-02,0.475469
-1.09909e-02,0.475344
-1.09907e-02,0.475438
-1.09906e-02,0.475563
-1.09904e-02,0.475672
-1.09902e-02,0.475906
-1.09901e-02,0.475531
-1.09899e-02,0.475609
-1.09898e-02,0.475891
-1.09896e-02,0.475688
-1.09894e-02,0.475641
-1.09893e-02,0.476344
-1.09891e-02,0.476469
-1.09890e-02,0.476563
-1.09888e-02,0.476719
-1.09886e-02,0.476844
-1.09885e-02,0.477047
-1.09883e-02,0.477188
-1.09882e-02,0.477344
-1.09880e-02,0.477172
-1.09878e-02,0.477141
-1.09877e-02,0.477
-1.09875e-02,0.477156
-1.09874e-02,0.477234
-1.09872e-02,0.476984
-1.09870e-02,0.476875
-1.09869e-02,0.477063
-1.09867e-02,0.476703
-1.09866e-02,0.476734
-1.09864e-02,0.476734
-1.09862e-02,0.476797
-1.09861e-02,0.476781
-1.09859e-02,0.4765
-1.09858e-02,0.476422
-1.09856e-02,0.476266
-1.09854e-02,0.476953
-1.09853e-02,0.477297
-1.09851e-02,0.477375
-1.09850e-02,0.477359
